Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SERENITY PARK,"1,717,000","1,593.07","1,078",04 Oct 2021,157C TAMARIND ROAD #01-06,Resale,Strata,148,"11,601",-,Condominium,1,Freehold,1995,HDB,806107,28,80,North East Region,Serangoon
WATERVIEW,"1,390,000","1,528.49",909,04 Oct 2021,81 TAMPINES AVENUE 1 #01-20,Resale,Strata,142,"9,789",-,Condominium,1,99 yrs from 16/06/2010,2014,HDB,528685,18,52,East Region,Tampines
PATERSON SUITES,"5,550,000","2,163.56","2,565",04 Oct 2021,55 PATERSON ROAD #13-02,Resale,Strata,201,"27,612",-,Condominium,1,Freehold,2010,Private,238550,09,23,Central Region,River Valley
THE MORRIS RESIDENCES,"3,220,000","4,262.54",755,04 Oct 2021,63F PAYA LEBAR CRESCENT,Resale,Strata,396,"8,131",-,Terrace House,1,Freehold,2016,HDB,533906,19,53,North East Region,Hougang
FORESQUE RESIDENCES,"1,405,000","1,184.04","1,187",04 Oct 2021,103 PETIR ROAD #03-07,Resale,Strata,110,"12,773",-,Condominium,1,99 yrs from 10/01/2011,2014,Private,678273,23,67,West Region,Bukit Panjang
THE TRIZON,"1,920,000","1,044.11","1,839",04 Oct 2021,8 RIDGEWOOD CLOSE #16-10,Resale,Strata,97,"19,794",-,Condominium,1,Freehold,2012,Private,276698,10,27,Central Region,Bukit Timah
THE ROCHESTER RESIDENCES,"1,980,000","1,302.44","1,520",04 Oct 2021,33 ROCHESTER DRIVE #33-05,Resale,Strata,121,"16,364",-,Apartment,1,99 yrs from 02/02/2005,2011,Private,138638,05,13,Central Region,Queenstown
HAUS@SERANGOON GARDEN,"3,050,000","2,267.97","1,345",04 Oct 2021,2 SERANGOON GARDEN DRIVE,Resale,Land,210.7,"14,476",-,Terrace House,1,99 yrs from 28/11/2011,2016,Private,554415,19,55,North East Region,Serangoon
PARC RIVIERA,"1,580,000","1,151.75","1,372",04 Oct 2021,101 WEST COAST VALE #17-01,Resale,Strata,107,"14,766",-,Condominium,1,99 yrs from 11/11/2015,2019,HDB,126753,05,12,West Region,Clementi
THE PARC CONDOMINIUM,"992,000",667.37,"1,486",04 Oct 2021,7 WEST COAST WALK #20-13,Resale,Strata,62,"16,000",-,Condominium,1,Freehold,2010,HDB,127159,05,12,West Region,Clementi
THE FLORIDA,"1,010,000","1,302.44",775,04 Oct 2021,70 HOUGANG AVENUE 7 #08-01,Resale,Strata,121,"8,347",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,538804,19,53,North East Region,Hougang
PARC PALAIS,"1,800,000","1,227.1","1,467",04 Oct 2021,47 HUME AVENUE #03-08,Resale,Strata,114,"15,789",-,Condominium,1,Freehold,1999,Private,598748,21,59,West Region,Bukit Batok
BLUWATERS 2,"2,100,800","2,626.42",800,04 Oct 2021,205 JALAN LOYANG BESAR #05-14,Resale,Strata,244,"8,610",-,Condominium,1,946 yrs from 01/01/1938,2010,Private,509456,17,50,East Region,Pasir Ris
SENNETT ESTATE,"5,490,000","4,972.97","1,104",04 Oct 2021,3 KENANGA AVENUE,Resale,Land,462,"11,883",-,Semi-Detached House,1,Freehold,-,Private,348912,13,34,Central Region,Toa Payoh
CASPIAN,"1,580,000","1,237.86","1,276",04 Oct 2021,52 LAKESIDE DRIVE #11-14,Resale,Strata,115,"13,739",-,Condominium,1,99 yrs from 17/03/2008,2012,HDB,648316,22,64,West Region,Jurong West
REZI 26,"648,000",484.38,"1,338",04 Oct 2021,5A LORONG 26 GEYLANG #04-03,Resale,Strata,45,"14,400",-,Apartment,1,Freehold,2015,Private,398504,14,39,Central Region,Geylang
THE ALCOVE,"1,200,000","1,302.44",921,04 Oct 2021,10 LORONG 27 GEYLANG #06-01,Resale,Strata,121,"9,917",-,Apartment,1,99 yrs from 06/10/2000,2004,Private,388199,14,38,Central Region,Geylang
BARTLEY RESIDENCES,"1,750,000","1,184.04","1,478",04 Oct 2021,1A LORONG HOW SUN #10-06,Resale,Strata,110,"15,909",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536559,19,53,North East Region,Serangoon
MARTIN PLACE RESIDENCES,"1,250,000",592.02,"2,111",04 Oct 2021,6 MARTIN PLACE #04-07,Resale,Strata,55,"22,727",-,Condominium,1,Freehold,2011,Private,237990,09,23,Central Region,River Valley
MONTVIEW,"2,220,000","1,227.1","1,809",04 Oct 2021,63 MOUNT SINAI DRIVE #23-04,Resale,Strata,114,"19,474",-,Condominium,1,Freehold,2008,HDB,277116,10,27,Central Region,Bukit Timah
